venue,race_no,first_car,second_car,third_car,first_rider,second_rider,third_rider,trifecta,trifecta_payout,trifecta_popularity,is_complete
豊橋,1,1,3,2,佐藤　雅彦,葛西　雄太郎,小岩　哲也,1-3-2,30520,91,True
豊橋,2,5,7,4,乾　庄平,秋末　蓮,峯口　司,5-7-4,5230,19,True
豊橋,3,7,3,5,川崎　健次,志佐　明,金ヶ江　勇気,7-3-5,4460,13,True
豊橋,4,2,6,7,橋本　智昭,須永　勝太,白上　翔,2-6-7,1680,1,True
豊橋,5,1,5,2,近谷　涼,小林　信晴,橋谷　成海,1-5-2,2350,7,True
豊橋,6,5,2,1,岡本　二菜,半田　水晶,枝光　美奈,5-2-1,3200,13,True
豊橋,7,4,1,2,柳原　真緒,杉浦　菜留,小林　真矢香,4-1-2,1900,10,True
豊橋,8,1,7,2,上杉　嘉槻,志村　太賀,室井　健一,1-7-2,10020,30,True
豊橋,9,3,4,1,堤　洋,今野　有樹,児玉　虎之介,3-4-1,10040,39,True
豊橋,10,5,1,3,木村　皆斗,恩田　淳平,神田　紘輔,5-1-3,1070,3,True
豊橋,11,5,1,3,嶋津　拓弥,野中　龍之介,武田　豊樹,5-1-3,5000,15,True
豊橋,12,6,3,4,中村　龍吉,内藤　宣彦,笠松　信幸,6-3-4,34640,71,True
和歌山,1,7,6,3,野木　義規,内村　竜也,伊藤　彰規,7-6-3,41870,126,True
和歌山,2,7,5,3,林　佳宗依,柴田　竜史,山田　晃久,7-5-3,15700,33,True
和歌山,3,6,3,2,杉浦　颯太,田中　和磨,鮫島　康治,6-3-2,4250,11,True
和歌山,4,4,1,5,伊藤　奎,藤田　楓,小原　周祐,4-1-5,102640,142,True
和歌山,5,4,1,5,古賀　勝大,仲野　結音,松本　卓也,4-1-5,870,3,True
和歌山,6,2,5,3,川口　公太朗,坂田　康季,石川　裕二,2-5-3,680,1,True
和歌山,7,1,7,3,丸山　留依,吉田　裕全,林　昌幸,1-7-3,21840,79,True
和歌山,8,4,2,1,高田　修汰,小川　丈太,櫻井　正孝,4-2-1,14830,47,True
和歌山,9,1,5,6,福島　武士,開坂　秀明,伊藤　裕貴,1-5-6,85580,165,True
和歌山,10,4,5,3,山岸　佳太,成田　和也,酒井　雄多,4-5-3,2130,4,True
和歌山,11,1,5,2,橋本　優己,東口　善朋,原田　亮太,1-5-2,5510,19,True
和歌山,12,1,5,3,岩本　俊介,野田　源一,伊藤　旭,1-5-3,2550,6,True
取手,1,5,3,7,山本　淳,檀　雄二,楠本　政明,5-3-7,44540,77,True
取手,2,3,2,4,湯浅　弘光,早川　成矢,藤岡　祐馬,3-2-4,30600,102,True
取手,3,5,7,6,田崎　隼翔,高嶋　一朗,松尾　正人,5-7-6,49550,125,True
取手,4,4,1,3,吉川　敬介,大越　啓介,山崎　功也,4-1-3,490,2,True
取手,5,3,2,7,石井　貴子,太田　美穂,比嘉　真梨代,3-2-7,2640,9,True
取手,6,3,2,7,川上　いちご,那須　萌美,是永　ゆうき,3-2-7,640,2,True
取手,7,7,6,5,内山　拓,法月　成祐,瀧野　勝太,7-6-5,14810,44,True
取手,8,1,2,5,福田　要,森　飛龍,高橋　佑輔,1-2-5,6170,23,True
取手,9,7,2,3,龍野　琳太郎,細川　貴史,戸邉　捺希,7-2-3,1030,3,True
取手,10,1,4,6,吉田　晏生,須賀　和彦,伊藤　一貴,1-4-6,560,1,True
取手,11,4,1,6,石川　雅望,鈴木　薫,浦川　尊明,4-1-6,1970,3,True
京王閣,1,5,7,4,深井　高志,松本　一成,瓦田　勝也,5-7-4,7710,24,True
京王閣,2,5,2,3,松本　充生,工藤　考生,橋本　大祐,5-2-3,5060,17,True
京王閣,3,4,3,7,土居　佑次,住村　実,竹野　行登,4-3-7,1410,1,True
伊東,1,1,7,6,大崎　智久,一ノ瀬　貴将,黒田　篤,1-7-6,82210,140,True
伊東,2,2,7,5,松田　大,小川　将人,村上　卓茂,2-7-5,13590,39,True
伊東,3,4,1,2,小峰　烈,伊藤　温希,井上　公利,4-1-2,29200,64,True
伊東,4,2,7,3,小谷田　公則,吉田　優斗,伊藤　太一,2-7-3,1630,2,True
伊東,5,1,6,5,大谷　靖茂,谷本　奨輝,武井　大介,1-6-5,2830,6,True
伊東,6,5,3,7,藤田　大輔,岡部　伶音,高間　悠平,5-3-7,2640,6,True
伊東,7,6,1,2,片山　弘城,石橋　慎太郎,南儀　拓海,6-1-2,141490,194,True
岸和田,1,4,1,2,佐藤　康恭,佐藤　純嘉,藤田　和彦,4-1-2,370,2,True
岸和田,2,2,1,3,相川　巧,齊藤　紳一朗,阿部　利光,2-1-3,560,2,True
岸和田,3,4,1,3,瀧本　匡平,林　洋二,樋口　奨平,4-1-3,420,1,True
岸和田,4,,,,,,,5-4-2,19530,66,False
佐世保,1,6,7,3,村田　奈穂,山口　優依,竹野　百香,6-7-3,7820,21,True
佐世保,2,4,6,7,小林　優香,小泉　夢菜,牧田　咲子,4-6-7,1010,3,True
佐世保,3,4,3,1,関根　崇人,平川　雅晃,小田桐　義継,4-3-1,5680,15,True
佐世保,4,4,5,1,田山　誠,宮本　寛大,横瀬　聡,4-5-1,270,1,True
佐世保,5,7,1,4,戸田　康平,白濱　蓮,中井　大介,7-1-4,5300,13,True
佐世保,6,4,5,3,伊藤　京介,西原　裕太郎,松本　大地,4-5-3,310,1,True
佐世保,7,3,2,6,等々力　久就,安部　龍文,伊藤　司,3-2-6,15690,51,True
別府,1,5,1,2,関谷　哲平,大竹　慎吾,徳吉　正治,5-1-2,570,1,True
別府,2,1,3,2,木本　賢二,松木　一将,爲田　学,1-3-2,360,2,True
別府,3,,,,,,,2-5-1,3770,12,False
